DoctorID,Name,Specialty,Phone,DepartmentID
1,Sidoney Midford,Oncology,570-114-9920,231
2,Viviana Brimble,Cardiology,538-137-9614,260
3,Federico Tomley,Radiology,497-440-5766,63
4,Binnie Ivanshintsev,Intensive,466-978-6412,464
5,Dennet Kilcullen,Therapy,180-335-1020,401
6,Skippie Delmage,Neurology,426-489-5356,425
7,Gilles Bortoloni,Laboratory,224-245-6180,464
8,Lauren Thomen,Radiology,474-682-3790,422
9,Caro Bleackly,Pediatrics,231-550-8551,396
10,Hasty Clymer,Physical,971-489-6375,464
11,Case Verbrugge,Oncology,403-891-8646,363
12,Maisey Naisbet,Gynecology,678-639-3357,73
13,Pauli Danett,Intensive,693-251-4800,367
14,Sarah Pirrone,Nutrition,129-321-8567,29
15,Gusella Spada,Pharmacy,500-898-7483,270
16,Raina Jeacop,Gynecology,450-929-7716,187
17,Herbert Coursor,Pediatrics,529-857-8473,381
18,Phelia Getcliffe,Pharmacy,934-431-0071,277
19,Charlotte Estoile,Physical,301-735-8250,323
20,Moselle Augustin,Therapy,114-118-3974,105
21,Simone Dewi,Emergency,883-545-9833,336
22,Hertha Cutchee,Therapy,746-569-9680,151
23,Vi Doree,Gynecology,248-775-2612,71
24,Floyd Prime,Oncology,121-215-7684,275
25,Steffen Linfield,Laboratory,362-782-3860,20
26,Leonard Barnaby,Surgery,846-272-1884,334
27,Erica Hasloch,Laboratory,173-210-5505,67
28,Haleigh Renshaw,Care,264-471-3636,96
29,Brigitte Leversuch,Therapy,321-527-3034,176
30,Filbert Maccrae,Surgery,957-305-6078,370
31,Thea Whitloe,Pediatrics,721-250-7464,147
32,Redford Andren,Pharmacy,772-580-8820,21
33,Ranee Graysmark,Therapy,300-568-6332,98
34,Curtice Stook,Therapy,850-518-6307,71
35,Haslett Turnbull,Obstetrics,987-774-3027,375
36,Alfy Georgievski,Gynecology,235-749-8813,175
37,Atlanta Aubry,Cardiology,908-267-5239,472
38,Stacey Wehner,Neurology,663-947-6606,337
39,Jennine Warlow,Intensive,198-743-5218,122
40,Sisile Janc,Emergency,664-161-9589,76
41,Ellary Humby,Pediatrics,350-562-9425,177
42,Ninnetta Heigho,Unit,816-658-5278,128
43,Marie Arnatt,Orthopedics,689-765-9074,206
44,Krista Cowlin,Oncology,407-822-8335,405
45,Vilma Heaton,Unit,340-360-8431,28
46,Ally Nortcliffe,Gynecology,339-144-8121,251
47,Etti Langelay,Orthopedics,117-254-0468,162
48,Violetta Longstreeth,Oncology,269-711-2089,127
49,Jarrad Van Haeften,Gynecology,233-485-4841,193
50,Horton Schlagh,Psychiatry,804-220-7178,428
51,Toni Bellow,Radiology,673-380-8109,77
52,Melisandra McKue,Care,612-788-2273,451
53,Nick Godwyn,Gynecology,650-784-1681,73
54,Max Brugsma,Surgery,288-105-1847,464
55,Neville Bondesen,Nutrition,917-407-5841,155
